family,workload_layers,one_qubit_noise,two_qubit_noise,total_cnot_budget,split_shots,split_mse,split_rmse,dilation_shots,dilation_mse,dilation_rmse,genexp_shots,genexp_mse,genexp_rmse,dil_vs_split_mse_ratio,dil_vs_genexp_mse_ratio
jordan_gamma_1,1,1.25e-05,0.00025,1000.0,125,0.02116379879318874,0.14547782921527508,100,0.01841288601576122,0.13569408983357092,18,0.18275431605768505,0.4274977380731798,0.870018005542896,0.1007521267511369
jordan_gamma_1,1,1.25e-05,0.00025,10000.0,1250,0.0028028033988243034,0.05294150922314459,1000,0.0029719604917958237,0.0545156903266924,185,0.044441056811653494,0.21081047604816391,1.0603528214081932,0.066874208333779
jordan_gamma_1,1,1.25e-05,0.00025,100000.0,12500,0.0009667038593878597,0.03109186162628188,10000,0.0014278679393992845,0.037787139867940314,1851,0.031023037038331435,0.1761335772597929,1.4770479351385284,0.04602605275669947
jordan_gamma_1,1,2.5e-05,0.0005,1000.0,125,0.02370451989598016,0.15396272242325465,100,0.022660898699663305,0.1505353735826344,18,0.2607408843222785,0.5106279313965095,0.9559737467412773,0.08690964885911101
jordan_gamma_1,1,2.5e-05,0.0005,10000.0,1250,0.005050011824077086,0.07106343521162685,1000,0.006644209037545408,0.081512017749197,185,0.11440090984771305,0.33823203551365894,1.3156818773903898,0.058078288419121604
jordan_gamma_1,1,2.5e-05,0.0005,100000.0,12500,0.0031845610168867782,0.056431914878788035,10000,0.005042540071333619,0.0710108447445432,1851,0.10020420389319334,0.3165504760590218,1.5834333349540268,0.05032263992345482
jordan_gamma_1,1,5e-05,0.001,1000.0,125,0.032664891548123215,0.1807343120387582,100,0.03718858951035172,0.19284343263474574,18,0.4505615269303004,0.6712388002270878,1.1384880753565036,0.08253831560745889
jordan_gamma_1,1,5e-05,0.001,10000.0,1250,0.013475691450829757,0.11608484591379599,1000,0.02013423335465351,0.1418951491582905,185,0.29631954938556165,0.5443524128591345,1.4941150462014887,0.06794770509203049
jordan_gamma_1,1,5e-05,0.001,100000.0,12500,0.011556771441100412,0.10750242528008572,10000,0.01842879773908369,0.13575270803591247,1851,0.2813562558021883,0.5304302553608611,1.5946320157845866,0.06549986843740319
jordan_gamma_1,1,7.500000000000001e-05,0.0015,1000.0,125,0.04615897470588105,0.21484639793555083,100,0.0584335875771312,0.2417304026744075,18,0.6297836644335172,0.7935891030209004,1.2659203968342532,0.09278358724926837
jordan_gamma_1,1,7.500000000000001e-05,0.0015,10000.0,1250,0.026499063325138815,0.16278532896160763,1000,0.0404776274376396,0.20119052521836012,185,0.47319961000904,0.6878950574099512,1.527511630920168,0.08554028063731142
jordan_gamma_1,1,7.500000000000001e-05,0.0015,100000.0,12500,0.02453307218706459,0.15663036802314098,10000,0.03868203142369044,0.1966774807233671,1851,0.4580091073059171,0.6767637012325034,1.5767300209586508,0.08445690447341614
jordan_gamma_1,1,0.0001,0.002,1000.0,125,0.06348961729062677,0.2519714612622365,100,0.08499934341843868,0.2915464687120025,18,0.7748417902985606,0.8802509814243666,1.3387912393509966,0.10969896626985863
jordan_gamma_1,1,0.0001,0.002,10000.0,1250,0.0434165622970293,0.20836641355321472,1000,0.06626087765915446,0.25741188329048537,185,0.6182028404026938,0.7862587617334982,1.5261659181083584,0.10718306893574366
jordan_gamma_1,1,0.0001,0.002,100000.0,12500,0.04140925679766956,0.20349264556162602,10000,0.06438703108322605,0.25374599717675556,1851,0.6030070121904724,0.7765352613954323,1.5548946313581178,0.10677658763757138
jordan_gamma_1,1,0.00015000000000000001,0.003,1000.0,125,0.10722790136763846,0.32745671678504085,100,0.1494682096732352,0.38661118668920486,18,0.9629030567644589,0.9812762387648337,1.393930196962196,0.15522664366180058
jordan_gamma_1,1,0.00015000000000000001,0.003,10000.0,1250,0.08647841018920545,0.29407211732703503,1000,0.1294639822811723,0.3598110369085033,185,0.8080031564924349,0.898889957943927,1.4970670945258946,0.16022707490794863
jordan_gamma_1,1,0.00015000000000000001,0.003,100000.0,12500,0.08440346107136214,0.2905227376150826,10000,0.12746355954196603,0.35702039093301946,1851,0.7929760366337489,0.8904920194104767,1.5101698191522868,0.16074074581504347
jordan_gamma_1,1,0.0002,0.004,1000.0,125,0.159641683414532,0.39955185322374864,100,0.2229564574179274,0.47218265260164677,18,1.0570003393965137,1.0281052180572345,1.396605527135352,0.21093319378234324
jordan_gamma_1,1,0.0002,0.004,10000.0,1250,0.13838250939724328,0.37199799649627585,1000,0.20200535560732566,0.4494500590803451,185,0.9037996145453322,0.9506837615870654,1.4597607492970481,0.2235067954846905
jordan_gamma_1,1,0.0002,0.004,100000.0,12500,0.1362565919955144,0.3691295057232819,10000,0.19991024542626548,0.44711323557491056,1851,0.8889373347715338,0.9428347335411089,1.467160175508034,0.22488676941175442
