family,workload_layers,one_qubit_noise,two_qubit_noise,split_noisy_factor,dilation_noisy_factor,genexp_noisy_factor,dil_vs_split_noisy_ratio,dil_vs_genexp_noisy_ratio,split_cx_per_shot,dilation_cx_per_shot,genexp_cx_per_shot
jordan_gamma_1,1,1.25e-05,0.00025,20.40720751225355,17.16914689795417,150.5258626650222,0.8413275989693799,0.11406110945972195,8.0,10.0,54.0
jordan_gamma_1,1,2.5e-05,0.0005,20.751049453440263,17.844967539407094,162.8998732974833,0.8599549424932156,0.10954561951573222,8.0,10.0,54.0
jordan_gamma_1,1,5e-05,0.001,21.412081814072856,19.131677519247305,181.1860979657637,0.893499178892228,0.10559131044845593,8.0,10.0,54.0
jordan_gamma_1,1,7.500000000000001e-05,0.0015,22.03886287329217,20.335891815340524,193.24585847766306,0.9227287239027475,0.10523326075674275,8.0,10.0,54.0
jordan_gamma_1,1,0.0001,0.002,22.63288404413966,21.462305492989536,201.13482241494597,0.9482797442488013,0.10670606529143066,8.0,10.0,54.0
jordan_gamma_1,1,0.00015000000000000001,0.003,23.7283732355714,23.499331838233616,209.52161038549718,0.9903473619930073,0.11215707914327967,8.0,10.0,54.0
jordan_gamma_1,1,0.0002,0.004,24.709467174362153,25.27577607689684,212.87489351331686,1.0229187015057237,0.11873535511746788,8.0,10.0,54.0
jordan_gamma_1,1,0.00025,0.005,25.58630473183115,26.82141745274884,214.11230850237254,1.0482724150229137,0.12526798501381642,8.0,10.0,54.0
jordan_gamma_1,2,1.25e-05,0.00025,48.68946217499853,43.68282518888997,216.59075420974108,0.897172062239796,0.201683702281163,16.0,18.0,70.0
jordan_gamma_1,2,2.5e-05,0.0005,48.8472041348312,44.17129681202226,219.69850950138186,0.9042748217502439,0.2010541487617349,16.0,18.0,70.0
jordan_gamma_1,2,5e-05,0.001,49.138412348802326,45.05838658381856,223.47954115087842,0.9169687100180962,0.2016219755588193,16.0,18.0,70.0
jordan_gamma_1,2,7.500000000000001e-05,0.0015,49.399836521844804,45.83723703468056,225.28466552899297,0.9278823628173578,0.203463635339093,16.0,18.0,70.0
jordan_gamma_1,2,0.0001,0.002,49.63433648406246,46.52036552566196,226.04594630626747,0.9372617591170904,0.20580048563503972,16.0,18.0,70.0
jordan_gamma_1,2,0.00015000000000000001,0.003,50.03268194246413,47.64288882950717,226.2667540752397,0.9522353585661241,0.21056071195357604,16.0,18.0,70.0
jordan_gamma_1,2,0.0002,0.004,50.351553698954,48.50117537975245,226.01203879843223,0.9632508198204818,0.2145955394128717,16.0,18.0,70.0
jordan_gamma_1,2,0.00025,0.005,50.6058776957921,49.154622979580004,225.7628876138442,0.9713224079436771,0.2177267641245644,16.0,18.0,70.0
jordan_gamma_1,3,1.25e-05,0.00025,63.657991924818944,62.41490014185059,237.03177858057677,0.9804723374806346,0.263318701465311,24.0,26.0,86.0
jordan_gamma_1,3,2.5e-05,0.0005,64.88949847155283,63.50893346591669,247.42062269733051,0.9787243693023553,0.25668407416307865,24.0,26.0,86.0
jordan_gamma_1,3,5e-05,0.001,67.06226533469845,65.42861180161825,261.27497934576155,0.9756397502391715,0.2504205032010833,24.0,26.0,86.0
jordan_gamma_1,3,7.500000000000001e-05,0.0015,68.89641989925526,67.03702758317841,269.2826752255005,0.9730117716015466,0.24894667853043578,24.0,26.0,86.0
jordan_gamma_1,3,0.0001,0.002,70.44268249243953,68.38269494245826,273.94036751125265,0.9707565430915785,0.24962620720602377,24.0,26.0,86.0
jordan_gamma_1,3,0.00015000000000000001,0.003,72.83915086507773,70.44473099878952,278.2742723573507,0.9671272957214525,0.2531485588014644,24.0,26.0,86.0
jordan_gamma_1,3,0.0002,0.004,74.52880181009945,71.8754663386776,279.7950941517185,0.9643985223567314,0.2568860849994147,24.0,26.0,86.0
jordan_gamma_1,3,0.00025,0.005,75.71344739815956,72.86207804257805,280.3400420646715,0.9623399877621895,0.2599060680235239,24.0,26.0,86.0
jordan_gamma_1,4,1.25e-05,0.00025,80.92756826779943,86.73457836082444,265.50359998321176,1.0717556478876133,0.3266794814319234,32.0,34.0,102.0
jordan_gamma_1,4,2.5e-05,0.0005,82.9542970305073,87.36332034052145,276.7889290293492,1.0531500292069582,0.31563155595452996,32.0,34.0,102.0
jordan_gamma_1,4,5e-05,0.001,86.36298143835208,88.41015623049995,292.0598549173131,1.0237043089302005,0.30271245685419623,32.0,34.0,102.0
jordan_gamma_1,4,7.500000000000001e-05,0.0015,89.05833743562015,89.2265513030687,301.12051629948854,1.0018888053863588,0.29631508473612517,32.0,34.0,102.0
jordan_gamma_1,4,0.0001,0.002,91.18552108167793,89.86194381643162,306.55440584328153,0.9854847869536136,0.29313538511780957,32.0,34.0,102.0
jordan_gamma_1,4,0.00015000000000000001,0.003,94.17827548785179,90.73793625983657,311.83720246827505,0.9634699275369616,0.2909785475934926,32.0,34.0,102.0
jordan_gamma_1,4,0.0002,0.004,96.02070142042844,91.26204432288634,313.80148399953623,0.9504413420528327,0.29082731910541637,32.0,34.0,102.0
jordan_gamma_1,4,0.00025,0.005,97.14560196537585,91.57290944094512,314.53616467409654,0.9426356684019838,0.291136345277903,32.0,34.0,102.0
